    month daymonth dayweek ozone press wind humid tempS tempE ibht pressg ibtemp vis
70      3       10       3     3  5530    5    61    47 33.80 5000     56  35.60 200
71      3       11       4     2  5620    9    61    43 37.04 5000     66  34.34 120
72      3       12       5     8  5690    0    60    49 46.04  613    -27  59.72 300
75      3       15       1    16  5780    5    53    61 57.92  488    -20  64.94   2
76      3       16       2     9  5790    2    42    63 57.02  531    -15  71.06  50
77      3       17       3    24  5760    3    60    70 58.64  508      7  66.56  70
78      3       18       4    13  5700    4    82    57 50.36 1571     68  56.30  17
79      3       19       5     8  5680    4    57    35 40.10  721     28  55.40 140
82      3       22       1     9  5730    4    32    67 59.54  442     -9  75.74 200
83      3       23       2    10  5710    5    77    57 57.38  902     54  60.44 250
85      3       25       4    14  5720    4    71    42 44.96 1381      4  56.30  60
86      3       26       5     9  5710    3    19    55 51.80 5000    -16  50.00 100
89      3       29       1     9  5690    7    70    57 46.58 1292     -5  53.60 200
90      3       30       2    12  5730    6    45    58 52.52 5000    -14  52.70 100
91      3       31       3    12  5710    3    46    62 52.52  472     34  62.96 300
92      4        1       4     8  5610    6    50    51 50.00 1404     42  54.50 120
93      4        2       5     9  5680    5    69    61 51.44  944     35  55.76 100
96      4        5       1     4  5540    5    54    35 33.26 5000     62  33.44 200
97      4        6       2     9  5590    6    51    48 38.12 5000     44  42.08 300
98      4        7       3    13  5690    6    63    59 52.88 2014     31  53.42 300
99      4        8       4     5  5550    7    63    41 37.58 5000     56  37.22 250
100     4        9       5    10  5620    7    57    58 46.76 5000     27  47.66 120
103     4       12       1     5  5560    4    65    40 34.70 5000     59  35.24 140
104     4       13       2     4  5440    5    44    35 33.08 5000     24  32.54  80
105     4       14       3     7  5480    7    51    46 37.40 2490     29  47.48 300
106     4       15       4     3  5620    5    73    39 39.56 5000    107  31.28 100
110     4       19       1    15  5760    4    50    65 56.30  547      1  66.92 100
111     4       20       2    22  5790    4    57    66 63.68  413     10  69.62 120
112     4       21       3    17  5720    5    68    69 60.80  610     46  63.68  60
113     4       22       4     7  5660    6    58    59 42.80 3638     81  51.26 120
114     4       23       5    10  5710    5    65    64 56.30 3848     45  56.84 100
117     4       26       1    12  5700    5    41    52 49.64  869      0  58.10  40
118     4       27       2     6  5620    9    47    56 39.92 5000     43  38.30 140
119     4       28       3     9  5650    6    46    55 40.82 5000     49  37.94 150
120     4       29       4    19  5730    5    61    66 59.72 1148     31  60.80 100
121     4       30       5    21  5810    4    55    74 67.28  856      4  75.38 100
125     5        4       2    11  5690    4    71    67 52.52  314     60  59.00 120
127     5        6       4     2  5680    6    77    41 42.98 5000     75  40.82 120
128     5        7       5    12  5650    8    66    61 51.80 1410     20  55.22 140
131     5       10       1    20  5760    7    78    74 63.14 1184     40  68.72  80
132     5       11       2    27  5830    6    75    74 67.28  898     24  73.40  70
133     5       12       3    33  5880    3    80    80 73.04  436      0  86.36  40
134     5       13       4    25  5890    6    88    84 73.22  774      6  86.00  20
135     5       14       5    31  5850    4    76    78 71.24 1181     50  79.88  17
146     5       25       2     9  5730    5    71    67 49.82 4337     66  59.36 200
149     5       28       5     5  5750    3    76    65 51.08 3644     86  59.36  70
154     6        2       3    17  5780    8    92    68 64.76 1804     56  68.00  70
155     6        3       4    19  5740    6    71    69 64.40 3234     77  62.78  80
156     6        4       5    16  5730    6    64    66 60.44 3441     67  60.98 100
159     6        7       1     9  5690    8    67    64 54.50 2962     80  59.36 120
160     6        8       2     7  5650    6    66    61 53.78 2670     54  55.40 120
161     6        9       3     5  5610    3    61    52 42.08 5000     76  42.08 150
162     6       10       4     2  5570    9    81    48 41.72 5000     57  40.82 140
163     6       11       5    12  5690    5    63    59 51.80 5000     46  51.26 140
166     6       14       1    26  5830    4    71    74 71.78  898    -24  77.90  60
167     6       15       2    27  5880    6    67    83 72.50  777     -1  82.58  30
168     6       16       3    14  5860    3    64    78 68.72 1279     75  71.60  17
169     6       17       4    11  5830    6    64    75 66.20 1046     69  68.72  80
170     6       18       5    23  5870    4    69    84 74.12 1167     50  74.30  60
173     6       21       1    15  5800    4    69    79 66.20  977     60  70.70 150
174     6       22       2    20  5770    5    64    65 65.12  770     26  75.56 120
175     6       23       3    15  5860    4    33    81 72.68  629    -11  86.36 140
176     6       24       4    18  5870    7    38    84 76.10  337    -14  89.78 140
188     7        6       2    34  5900    6    86    87 81.68  990     22  85.10  40
191     7        9       5    24  5910    4    73    88 79.88 1204     56  79.88 100
194     7       12       1    14  5830    3    63    79 70.88 2326     64  71.24  70
195     7       13       2    13  5850    9    72    77 69.44 3389     56  68.72  80
196     7       14       3    17  5830    6    82    81 73.22 2818     58  71.78  80
198     7       16       5    22  5810    8    69    76 67.64 2394     54  69.62  90
201     7       19       1    25  5840    7    72    82 68.00 1528     42  73.94 100
202     7       20       2    28  5870    6    73    84 74.12  111     40  78.08  60
203     7       21       3    29  5870    4    90    86 74.48 1899     45  76.46  40
205     7       23       5    23  5860    3    80    80 67.28 1289     32  75.20  40
208     7       26       1    13  5880    4    78    84 70.70  826     27  79.34  80
209     7       27       2    26  5890    6    80    81 69.80 1105     39  74.12  80
210     7       28       3    22  5870    8    74    85 71.42 1023     46  77.18  80
215     8        2       1     9  5770    3    55    68 62.60 4291     60  62.24 200
216     8        3       2    12  5790    4    65    65 56.48 3330     59  58.64 150
222     8        9       1    14  5840    7    65    79 67.10 1233     30  70.52 100
224     8       11       3    24  5910    5    72    81 70.88 1069     28  74.30  80
225     8       12       4    19  5890    5    79    80 69.80  984     57  73.40  70
229     8       16       1     4  5780    7    70    66 51.44 5000     45  51.26 200
230     8       17       2     6  5750    7    58    64 56.48 4212     46  56.84 200
231     8       18       3    12  5760    5    58    62 52.16 5000     52  49.82 250
233     8       20       5    15  5730    5    77    74 64.04 1545     43  65.66  70
237     8       24       2    22  5890    7    70    83 70.88  748     32  77.00  30
238     8       25       3    24  5880    4    73    81 73.76  692     44  77.72 100
239     8       26       4    26  5870    7    73    73 75.20  807     39  78.80 100
240     8       27       5    32  5900    6    71    87 76.46  869     19  78.98  17
243     8       30       1    38  5950    5    62    92 82.40  557      0  90.68  70
244     8       31       2    23  5950    8    61    93 81.68  620     27  85.64  30
245     9        1       3    19  5900    5    71    93 82.58 1404     33  84.74  70
246     9        2       4    19  5890    8    77    86 71.42  898     21  80.60  60
247     9        3       5    15  5860    7    71    76 69.44  377     -2  83.30  40
251     9        7       2    26  5810    6    82    80 71.78  895      0  78.08 100
252     9        8       3    17  5850    4    67    81 70.88  721      0  80.24 120
257     9       13       1    29  5830    5    77    72 68.72 1853     10  70.88  70
258     9       14       2    18  5840    5    78    75 69.26 2342      7  71.42  40
259     9       15       3     3  5800    7    72    55 54.32 5000     56  51.62  70
261     9       17       5     9  5790    3    71    61 50.54 4028     35  55.04 140
265     9       21       2    23  5780    6    76    72 66.38 3795     31  66.92  70
266     9       22       3    13  5800    6    73    75 67.10 3120     35  66.92  40
268     9       24       5     7  5800    5    80    65 60.08 2667     17  63.50 100
271     9       27       1    11  5770    5    75    64 55.94  308     25  68.72 140
272     9       28       2    12  5750    4    68    61 59.54 2982     18  59.90 120
273     9       29       3     5  5640    5    93    63 54.32 5000     30  52.70  70
274     9       30       4     4  5640    7    57    62 54.32 5000     25  51.26 150
275    10        1       5     5  5650    3    70    59 50.90 5000     38  47.66 200
278    10        4       1    17  5840    4    73    72 63.14  830      0  72.14  70
279    10        5       2    26  5880    3    77    71 67.64  711     -9  75.56  40
280    10        6       3    30  5890    5    80    75 71.06 1049    -10  78.98  50
281    10        7       4    18  5890    4    73    71 70.88  511    -39  83.84  17
282    10        8       5    12  5890    5    19    71 70.52 5000    -40  67.64  80
286    10       12       2     7  5830    8    77    71 67.10  337    -17  81.14  20
287    10       13       3    28  5860    5    86    73 69.80  492     -2  82.22   7
288    10       14       4    22  5830    5    76    71 69.44 1394     13  75.02  30
289    10       15       5    18  5800    7    66    66 62.96 3146     27  64.04  50
292    10       18       1    10  5730    4    84    64 56.30 5000     23  54.50  80
293    10       19       2    14  5780    5    74    65 63.14 2270     -7  68.90  50
294    10       20       3     9  5740    7    48    54 62.96 2191    -13  68.72  60
295    10       21       4    12  5710    8    75    62 58.64 3448     12  58.64  60
296    10       22       5     7  5690    6    74    56 52.34 5000     13  48.92  80
301    10       27       3     3  5760    5    23    57 53.42 5000    -21  50.90 300
302    10       28       4     7  5800    6    19    60 57.02 5000    -19  54.32 200
303    10       29       5     8  5810    7    59    61 55.76 2385     10  60.44 150
308    11        3       3     6  5920    3    22    71 69.08  328    -40  80.60 150
310    11        5       5     5  5860    7    19    70 62.78 5000    -29  61.70 300
314    11        9       2    14  5810    2    47    69 60.98  469     -4  71.78  50
315    11       10       3    16  5770    2    73    59 57.20 1541     18  63.14  20
316    11       11       4     5  5710    4    67    49 44.24 5000     24  41.90 200
317    11       12       5     3  5500    9    56    39 41.36 5000     15  41.72 120
320    11       15       1     5  5810    5    59    54 54.50 5000    -28  53.60  70
321    11       16       2     4  5860    0    25    60 61.52 5000    -38  63.50 140
322    11       17       3    11  5900    0    24    62 62.60 5000    -36  60.08 150
323    11       18       4     6  5850    5    41    65 59.54 2014    -20  69.98 200
324    11       19       5     8  5780    3    50    66 59.72  436      1  70.34   4
327    11       22       1    12  5770    2    81    62 60.62 1210    -17  67.82  30
328    11       23       2     9  5750    2    85    60 59.72  501    -22  70.88   2
329    11       24       3     7  5780    5    76    63 60.44  875    -15  68.90   0
331    11       26       5     4  5750    6    58    58 42.62 5000     59  41.90  60
334    11       29       1     3  5770    4    19    44 51.26 2280    -54  55.76 250
335    11       30       2     3  5810    2    19    53 55.94 2047    -43  63.50 150
336    12        1       3     3  5810    2    19    52 57.74 5000    -69  56.48 200
337    12        2       4     3  5870    3    19    53 60.80 3720    -50  61.34 200
338    12        3       5     3  5830    2    27    58 59.00  311    -24  69.98 200
341    12        6       1     5  5780    4    19    48 54.14 2933    -40  59.90 300
342    12        7       2     3  5810    3    19    51 58.28 3064    -33  62.78 200
343    12        8       3     4  5760    0    32    62 56.12  826    -16  64.76 300
344    12        9       4     7  5680    0    58    40 46.94 5000      2  42.98  50
345    12       10       5     5  5750    0    26    44 52.88  111    -52  68.18  40
348    12       13       1     3  5750    0    19    53 51.98 5000    -26  51.08 150
349    12       14       2     2  5720    0    19    53 52.70 5000    -31  51.44  70
350    12       15       3     5  5760    3    19    55 58.10  948    -48  70.70 200
351    12       16       4     3  5780    0    19    51 54.32 5000    -50  50.90 120
352    12       17       5     4  5660    4    19    54 49.64 5000    -22  48.56 150
355    12       20       1     6  5680    3    52    49 48.38 5000    -19  45.68  70
356    12       21       2     3  5650    5    19    48 47.12 5000    -28  45.32 150
357    12       22       3     4  5710    4    19    51 51.08 5000    -25  48.38 300
358    12       23       4     3  5680    4    57    47 45.32  508    -10  58.64 100
362    12       27       1     2  5730    3    53    51 49.28  111    -14  72.50 200
363    12       28       2     3  5690    3    23    51 49.28 5000    -36  51.26  70
364    12       29       3     5  5650    3    61    50 46.58 3704     18  46.94  40
365    12       30       4     1  5550    4    85    39 41.00 5000      8  39.92 100
